Name,D,p
Precipitacao,0.5,0
PressaoAtm,1,0
PressaoAtmMax,1,0
PressaoAtmMin,1,0
RadiacaoGlobal,0.999986654,0
TemperaturaBulboSeco,0.999999999,0
TemperaturaPontoOrvalho,1,0
TemperaturaMax,0.999999999,0
TemperaturaMin,0.999676654,0
TemperaturaMaxOrvalho,0.999999713,0
TemperaturaMinOrvalho,0.987634017,0
UmidadeRelMax,1,0
UmidadeRelMin,1,0
UmidadeRel,1,0
VentoDirecao,0.999647095,0
VentoRajada,0.998027928,0
VentoVelocidade,0.961830658,0
Acidentes,0.996080234,0
